_year,_event,_keywords,_description,_link,_id
2002-2015,《珍爱生命—小学生性健康教育读本》'Cherish Life - Sexual health education for primary school students',"教育Education,2010","本书依据联合国教科文组织《国际性教育技术指导纲要》编写而成的，是让小学生从小了解自己的身体器官，知道他们的作用以及如何保护，使他们懂得珍爱生命。健康教育内容包括五个领域：健康行为与生活方式、疾病预防、心理健康、生长发育与青春期保健、安全应急与避险。Based on the UNESCO Technical Guidelines for International Education, this book is designed to enable primary school students to understand their body organs, their role and how to protect them, so that they know how to cherish life. The content of health education includes five areas: health behavior and lifestyle, disease prevention, mental health, growth and development and adolescent health, safety emergency and risk aversion.",//,性教育教材
2002-2015,央视批吕丽萍恐同言论CCTV(China Central Television) criticized Lu Liping for homophobic remarks,"社会Society,2011","2011年6月，吕丽萍在微博上转发一篇攻击同性恋的文章，文中某牧师以“羞耻”、“非人“等词语描述同性恋，吕丽萍写下“给力"三字予以支持，并鼓励大家转发。央视《24小时》栏目对此评论：“吕丽萍女士的反同性恋言论遭到社会猛烈抨击，有影响力的名人应该反思一下。同性恋者和我们一样，都有着在这个社会上生存和发展的权利。June 2011，Lu Liping forwarded an article on Weibo attacking homosexuality in which a pastor described homosexuality with words such as shame and inhuman. Lu Liping reposted and encouraged everyone to criticize. CCTV commented: "Ms Lv Liping's anti-homosexual remarks have been slammed by society， and influential celebrities should reflect on this. Homosexuals like everyone else have the right to live and thrive in this society.",//,央视批吕丽萍恐同言论
2002-2015,撑同志反歧视Stand with LGBTQ+ Against Discrimination,"社会Society,2013","2013年1月16日，已公开同性恋身份的香港艺人何韵诗在微博发起“一人一照撑同志反歧视行动”，呼吁公众支持LGBTQ+平权。她表示，活动的初衷是倡导每个公民都应享有平等权利，并希望社会更加包容。活动发起后反响热烈，至今已有上百名网友及二十余位明星公开参与支持，且参与规模持续扩大。On January 16 2013 openly gay Hong Kong artist Denise Ho launched the "One Photo Campaign to Support LGBTQ+ and Fight Discrimination" on Weibo calling for public solidarity with the LGBTQ+ community. She emphasized the campaign’s goal of promoting equal rights and social inclusivity. The campaign quickly gained traction attracting hundreds of netizens and over 20 celebrities with participation steadily growing.",https://www.chinanews.com.cn/yl/2013/01-16/4492458.shtml, 撑同志反歧视
2002-2015,第六届北京酷儿影展The Sixth Beijing Queer Film Festival,"文化Culture,2013","本届影展于2013年6月底举行，包含三个主题论坛：双性恋议题在中国、LGBT边缘群体、中国电影审查制度与LGBTQ+。影片单元分为国际、港澳及本土主题。同时，北京酷儿影展声援因"外国代理人"法案被罚款的俄罗斯Side by Side LGBT影展。Held in late June 2013 this festival features three panel sessions: Bisexuality in China; Marginalized LGBT Groups; and Film Censorship & LGBTQ+ in China. Films are categorized into international; Hong Kong/Macau; and mainland China sections. The festival also expresses solidarity with Russia's Side by Side LGBT Film Festival which was fined under the "Foreign Agent's Law.", https://www.bjqff.com/category/festival-history/6thbjqff/, 第六届北京酷儿影展
2002-2015,第七届北京酷儿影展The Seventh Beijing Queer Film Festival,"文化Culture,2014","本届影展于2014年举办，标志着北京酷儿影展转为年度展。影展包含多元单元：从回顾云路程裕苏的作品，到展示巴黎女同和女权主义者国际电影节精选影片，还有新酷儿电影运动、双性恋主题（左右逢源）、学生创作（开酷礼）等。影展通过"政治礼仪：大篷车与USB"等创新形式探索电影放映方式，同时关注当代艺术与酷儿文化的交叉。Held in 2014. This year marked the festival's transition to an annual event. The festival featured diverse sections: a retrospective of Andrew Yusu Cheng's works; selections from the Paris International Lesbian & Feminist Film Festival; the New Queer Film Movement; bisexuality themes (Everything Turns to Gold); and student creations (Opening Rites of Queerness). The festival explored innovative screening formats through "Political Ceremonies: Caravans and USBs" while examining intersections between contemporary art and queer culture.",https://www.bjqff.com/category/7thfestival/, 第七届北京酷儿影展
2002-2015,第八届北京酷儿影展The Eighth Beijing Queer Film Festival,"文化Culture,2015","在收录时，该年的信息已经无法访问。Upon archiving the information for this year is no longer accessible.",//,第八届北京酷儿影展
2016-2020,第九届北京酷儿影展The Ninth Beijing Queer Film Festival,"文化Culture,2016","在收录时，该年的信息已经无法访问。Upon archiving the information for this year is no longer accessible.",//,第九届北京酷儿影展
2016-2020,第十届北京酷儿影展The 10th Beijing Queer Film Festival,"文化Culture,2017","在收录时，该年的信息已经无法访问。Upon archiving the information for this year is no longer accessible.",//,第十届北京酷儿影展
2016-2020,第十一届北京酷儿影展The 11th Beijing Queer Film Festival,"文化Culture,2018","在收录时，该年的信息已经无法访问。Upon archiving the information for this year is no longer accessible.",//,第十一届北京酷儿影展
2016-2020,第十二届北京酷儿影展The 12th Beijing Queer Film Festival,"文化Culture,2019","在收录时，该年的信息已经无法访问。Upon archiving the information for this year is no longer accessible.",//,第十二届北京酷儿影展
2016-2020,第十三届北京酷儿影展The 13th Beijing Queer Film Festival,"文化Culture,2020","在收录时，该年的信息已经无法访问。Upon archiving the information for this year is no longer accessible.",//,第十三届北京酷儿影展
2021-2025,第十四届北京酷儿影展The 14th Beijing Queer Film Festival,"文化Culture,2021","简介Brif：致敬逝者 Tribute to Pioneer Queers 酷儿新声 New Queer Voices 重温经典 Classics 有朋自远方来-澳洲电影 Partner Festival 将爱 Will Love 变化的美 Beauty in Trans 成长的烦恼 Growing Pains 抽象一点 A Little Abstract 来自社群 From Community 海外柜族 Queer in the Diaspora 新·家 Family Forward 疫乱情迷 Love in Pandemic 短句 Short Films",https://www.bjqff.com/category/festival-history/14th-festival/, 第十四届北京酷儿影展
2021-2025,第十五届北京酷儿影展The 15th Beijing Queer Film Festival,"文化Culture,2022","简介Brief：有朋自远方来：Queer East 变化的美 Beauty in Trans 将爱 Will Love 另类宣传 Propaganda Another 家有酷好 Queership & Kinship 我们的共同体 Communities for Queer 抽象一点 Abstract a Little 新酷类型 New Queer in Genre 流动的性别 Gender in the Flow 超越快乐 Beyond the Pleasure 酷儿新声 New Queer Voices",https://www.bjqff.com/category/15th-festival/, 第十五届北京酷儿影展
2021-2025,第十六届北京酷儿影展The 16th Beijing Queer Film Festival,"文化Culture,2023","简介Brief：酷儿新声 New Queer Voices 变化的美 Beauty in Trans 另类宣传 Propaganda Another 回顾一下 A Look Back 家有酷好 Queership & Kinship 将爱 Will Lov成长的烦恼 Growing Pain 我们的共同体 Communities for Queer 抽象一点 Abstract a Little 新·家 Family Forward 有朋自远方来 Partner Festival 流动的性别 Gender in the Flow 漂浪的酷儿 Queer Diaspora 超越快乐 Beyond the Pleasure",https://www.bjqff.com/category/festival-history/16th-festival/, 第十六届北京酷儿影展
2021-2025,第十七届北京酷儿影展The 17th Beijing Queer Film Festival,"文化Culture,2024","此次影展在2024举行，此次影展围绕酷儿未来，幻觉现在和多元心境：探索酷儿视角下的身心福祉与社群支持。Held in 2024 the festival revolves around Queer Futurism Fantastic Nowness and Multiple moods & Diverse Minds: Exploring Wellbeing and Community Support Through a Queer Lens.",https://www.bjqff.com/category/17th-festival/, 第十七届北京酷儿影展
2016-2020,整治同性恋影像Crackdown on LGBTQ+ Media,"社会Society,2017","2017年6月30日，中国发布《网络视听节目内容审核通则》，将同性恋定性为“非正常性关系”，并下令禁止同性恋内容出现在影视作品中。规定“表现和展示非正常的性关系、性行为，如乱伦、同性恋、性变态、性侵犯、性虐待及性暴力等”的内容应被剪辑、删除，问题严重的节目则禁止播出。这一规定引发了广泛的争议，被认为是对LGBTQ+群体的进一步边缘化和审查。同年7月24日，著名社会学家李银河教授的社交媒体账号被禁言三个月。李银河长期致力于研究性学、性别平等和LGBTQ+权益，是中国最具影响力的性学学者之一。On June 30，2017，China issued the General Rules for Content Review of Online Audiovisual Programs，which mandated the removal or editing of content that "depicts or displays abnormal sexual relationships and behaviors，such as incest，homosexuality，sexual perversion，sexual assault，sexual abuse，and sexual violence." It classified homosexuality as "abnormal sexual relations" and ordered that gay content should not be shown in films and television productions. Programs with severe violations would be entirely banned. This regulation sparked widespread controversy，as it was seen as further marginalizing and censoring the LGBTQ+ community. On July 24 of the same year，renowned sociologist Professor Li Yinhe was banned from posting on social media for three months. Li Yinhe is one of China’s most influential scholars in the fields of sexology，gender equality，and LGBTQ+ rights.",https://joancliu.github.io/queerc/tongze.html, 整治同性恋影像
2002-2015,同性恋题材纪录片被下架导演起诉广电总局胜诉创历史The director of a gay documentary has won a lawsuit against the State Administration of Radio Film and Television,"法律与案件Law and Lawsuit,2015","范坡坡导演于2012年创作的同性恋纪录片，名为《彩虹伴我心》，讲述母亲如何接纳孩子性取向的故事。但是2015年2月12日，这部纪录片在视频网站全部下架。据相关视频网站称，是广电总局的文件通知删除该纪录片，而在范坡坡联系广电总局后得到回复称并不存在屏蔽纪录片的情况。In December 2014，Mama Rainbow suddenly disappeared from Chinese streaming sites. Fan was told by streaming sites Youku Tudou and 56.com that they had removed the film at the request of the State Administration of Press，Publication，Radio，Film and Television (SAPPRFT).",https://joancliu.github.io/queerc/tongze.html, 导演起诉广电总局胜诉创历史
2016-2020,新浪微博清查同性恋内容 遭用户大规模抗议后撤除禁令Sina Weibo Backtracks on LGBT Content Ban After Massive User Protests,"社会Society,2018",4月13日，微博宣布为遵守中国的《网络安全法》并“营造晴朗和谐的网络环境”，遂将清理其网站上的同性恋内容。这一禁令是微博为期三个月的“清查“行动的一部分，其目的是清理色情、暴力或与同性恋有关的帖子。此举激起了新浪微博近4亿用户的愤怒，其中许多用户在微博上使用#我是同性恋#的话题标签表示抗议，这一话题标签被使用了50多万次，阅读量超过5.3亿。4月16日下午，新浪微博撤销了对同性恋内容的短暂禁令。On April 13，Weibo announced that，in compliance with China’s Cybersecurity Law and to "create a clean and harmonious online environment" it would remove LGBT-related content from its platform. The ban was part of Weibo’s three-month "clean-up" campaign targeting pornography，violence，and homosexual posts. The move sparked outrage among Sina Weibo’s nearly 400 million users，with many protesting under the hashtag #IAmGay which was used over 500000 times and viewed more than 530 million times. By the afternoon of April 16，Sina Weibo had revoked its short-lived ban on LGBT content.,https://www.abc.net.au/chinese/2018-04-17/chinas-sina-weibo-bans-lgbt-content-reverses-after-outcry/9668472, 微博清朗行动
2016-2020,新浪再收紧同性恋内容 封锁les超话页面Sina Puts Restrictions on Homosexual Content Again #Les Super Topic Page Blocked,"社会Society,2019",2019年4月12日，中国社群网站新浪微博无预警封锁原有近5亿阅读量的les（女同性恋）超级话题页面；而属于男同性恋族群的"gay 超话"页面，则在去年的4月13日便遭封锁。除了微博之外，拥有25万组员的豆瓣女同性恋社群"les sky小组"公共入口也被封锁，只有原组员及组员邀请才能进入群组。4月起在全中国大陆开展网上"低俗信息"专项整治，整治行动将持续8个月，其中包含清查"宣扬违背正确婚恋观和家庭伦理道德的内容"，并将重点排查微博、微信等平台。对此，同志权益促进会分析，这很有可能是新浪对排查行动的自我审查、自我阉割。On April 12，2019，Chinese social networking site Sina Weibo unexpectedly blocked the les (lesbian) super topic page，which had nearly 500 million views. The "gay super topic" page for the male homosexual community had already been blocked on April 13 of the previous year. Besides Weibo，the public entrance to "les sky group" a Douban lesbian community with 250000 members，was also blocked，allowing access only to existing members and those invited by members. Starting in April，a special campaign against "vulgar information" was launched across mainland China，which will continue for 8 months. This includes investigating "content that promotes incorrect views on marriage，relationships，and family ethics" with a focus on platforms like Weibo and WeChat. The LGBTQ Rights Advocacy Association analyzed that this is very likely Sina's self-censorship and self-castration in response to the investigation campaign.,https://www.rfa.org/mandarin/yataibaodao/meiti/ql-04252019094312.html, Les超话被封
2021-2025,未命名公众号Unnamed Account,"社会Society,2021",2021年7月6日晚间，中国高校各LGBT学生社团及个别相关社会组织所属的微信公众号账号被集中清理。各公众号页面均显示："接相关投诉，违反《互联网用户公众帐号信息服务管理规定》已被屏蔽所有内容，账号已被全部停止使用。" 账号所有内容均被屏蔽，其账号名称也变为“未命名公众号"。On the evening of July 6，2021，WeChat public accounts belonging to LGBT student organizations from various Chinese universities and some related social organizations were collectively cleaned up. All public account pages displayed: "In response to relevant complaints，all content has been blocked for violating the 'Regulations on the Management of Internet User Public Account Information Services' and the account has been completely suspended from use." All content was blocked，and its account name was changed to unnamed account.,https://www.chinalgbt.org/banned-voices, 未命名公众号
2016-2020,南京彩虹马拉松,"社会Society,2018",2018年4月15日南京举行彩虹马拉松The Pride Marathon was held in Nanjing on April 15 2018,https://www.sohu.com/a/218536161_681495, 南京彩虹马拉松
2016-2020,意定监护Voluntary Guardianship,"法律与案件Law and Lawsuit,2017",2015年，老年人权益保障法修订时首次为年满六十岁的老人规定了意定监护制度。2017年民法总则扩大这一制度的使用范围：凡是具有完全民事行为能力的成年人，都可以以书面协议的方式协商确定自己的监护人，在自己丧失行为能力时代为监护、照管自己。越来越多的LGBTQ+伴侣选择意定监护，在一个不承认同性婚姻的国家，成为彼此的监护人意味着两个对彼此负责的人之间建立了法律关系。In 2015，the Law on the Protection of the Rights and Interests of the Elderly was amended to provide for a voluntary guardianship system for the first time for people over the age of 60. In 2017，the General Provisions of the Civil Law expanded the scope of use of this system: all adults with full capacity for civil conduct can negotiate to determine their own guardian in the form of a written agreement，and in the era of their own incapacity for guardianship and care for themselves. More and more LGBTQ+ couples are opting for voluntary guardianship，and in a country that doesn't recognize same-sex marriage，becoming one another's guardian means a legal relationship between two people who are responsible for each other.,//, 意定监护
2016-2020,跨性别就业歧视第一案First Case of Transgender Discrimination in Workplace,"法律与案件Law and Lawsuit,2016",2015年，C先生因跨性别身份被贵阳慈铭公司解雇，随后提起劳动仲裁，成为中国首例跨性别就业歧视案。案件经历多次审理，法院最终认定公司违法解除劳动合同，并要求赔偿工资及经济补偿金。2017年，法院进一步裁定公司侵犯C先生的平等就业权，判决支付精神抚慰金，但未支持公开道歉请求。2018年终审维持原判，虽承认性别认同应受法律保护，但未认定构成性别歧视。In 2015，Mr. C was dismissed by Guiyang Ciming Company due to being transgender. He filed for labor arbitration，marking China's first transgender workplace discrimination case. After multiple hearings，the court ruled that the company unlawfully terminated his contract，ordering wage and compensation payments. In 2017，the court further recognized the violation of his right to equal employment and awarded damages for emotional distress but denied the request for a public apology. The 2018 final ruling upheld the decision，acknowledging legal protection for gender identity but rejecting the claim of gender discrimination due to insufficient evidence.,https://chinadigitaltimes.net/2016/05/chinas-first-transgender-discrimination-case/, 跨性别就业歧视第一案
2002-2015,同性恋矫正治疗第一案China Court Ruled in Favor of A Gay Man in The First Gay Conversion Therapy Case,"法律与案件Law and Lawsuit,2015",2013年，小振在百度搜索同性恋治疗信息，找到重庆心语飘香心理咨询中心的广告，并于2014年2月在家庭压力下接受治疗，包括催眠和电击。3月，他起诉该机构和百度，指控虚假广告及侵犯人身权益。此案于5月正式立案，7月开庭审理。2014年12月，北京海淀区法院判决心语飘香公开道歉并赔偿经济损失，同时要求百度删除相关广告，明确指出同性恋非精神疾病。In 2013，Xiaozhen searched for gay conversion therapy on Baidu and found an advertisement for Xinyu Piaoxiang Counseling Center. Under family pressure，he underwent treatment in February 2014，which included hypnosis and electric shocks. In March，he sued the clinic and Baidu for false advertising and personal rights violations. The case was officially accepted in May and heard in July. In December 2014，the Haidian District Court ruled that homosexuality is not a mental illness，ordering the clinic to apologize and compensate Xiaozhen while requiring Baidu to remove the misleading advertisement.,https://github.com/joancliu/queerc/blob/master/yanzi.md, 同性恋矫正治疗第一案
2002-2015,性倾向就业歧视案First Case of Discrimination Based on Sexual Orientation in Workplace,"法律与案件Law and Lawsuit,2014",这个案件涉及深圳一起关于性取向歧视的争议。2014年10月29日，两名男同志在街头因100元打的费用发生口角，引起围观。警察到场处理，整个过程被拍下并上传至网络，引发热议。2014年11月8日，阿易收到所在的深圳某设计公司通知，以其不遵守公司佩戴工牌和工服的纪律，并被投诉服务态度不佳为由将其解雇。阿易认为，实际原因是公司在2014年11月初获知他的同性恋身份后将其辞退。阿易起诉公司侵犯了他的平等就业权，请求法院判令公司赔礼道歉并支付5万元精神损害赔偿。南山区法院一审驳回了阿易的诉讼请求，因为证据并未明确指出解除劳动合同的原因是阿易的同性恋身份，而证据表明原因是网络视频影响公司形象。阿易随后向深圳中院提出上诉。2015年6月12日二审开庭后认为录音不足以证明解雇与同性恋身份有关，无法证明侵犯人格尊严和平等就业权。此外，阿易的离职申请表上仅写"个人处事"，与同性恋无关。法院还指出，视频走红不仅因为当事人是同性恋，更因为他们处理情感需求的方式和人生态度，引发大量负面评论。最终，二审驳回上诉，维持原判。This case involves a controversy over sexual orientation discrimination in Shenzhen.On October 29, 2014, two gay men had a verbal altercation on the street over the cost of a 100 RMB taxi, causing a crowd of onlookers. Police arrived to deal with the incident, and the whole process was filmed and uploaded to the internet, triggering a heated debate.On November 8, 2014, Ah Yi received a notice from a design company in Shenzhen, where he worked, that it had dismissed him for failing to comply with the company's discipline of wearing work permits and uniforms, and for having been complained about his poor service attitude. Yi argued that the actual reason was that the company dismissed him in early November 2014 after being informed of his homosexuality. Ah Yi sued the company for violating his right to equal employment and requested the court to order the company to apologize and pay 50000 RMB in moral damages. The Nanshan District Court rejected Yi's claim in the first instance，as the evidence did not clearly indicate that the reason for terminating the employment contract was Yi's homosexuality，and the evidence indicated that the reason was that the online video affected the company's image. Yi then appealed to the Shenzhen Intermediate Court.The second instance hearing on June 12 2015 held that the recordings were insufficient to prove that the dismissal was related to homosexuality and could not prove a violation of human dignity and the right to equal employment. In addition，Yi's application form for dismissal stated only personal matters，which had nothing to do with homosexuality. The Court also noted that the video became popular not only because the people involved were homosexuals，but also because of the way they dealt with their emotional needs and their attitude towards life，which triggered a lot of negative comments. In the end，the second trial rejected the appeal and upheld the original judgment.,https://joancliu.github.io/queerc/xiaohongmao.html, 性倾向就业歧视案
1997-2001,同性恋亚文化出版'Homosexual Subculture' Publication,"书籍刊物Publications,1998",1998年《同性恋亚文化》（李银河著）在北京出版。《同性恋亚文化》对约120个个案样本进行了深度访问，对其生活经历进行详细了解和分析。将正在发展中的恋爱事件的最新进展也加在调查记录中，从而整理、归纳出个体生活史的共同点和不同点，以此反映出同性恋这一群体的社会生活状况以及他们的心理、思想、态度和观念等。此书揭示了同性恋现象是在人类社会中普遍存在的一种行为模式。通过侧重于对中国同性恋人群的生存状况进行了一番解读和分析，主张应当尊重他们的选择。该书证实了中国学者对同性爱现象的认识不但可以从“同性爱是否病态”的传统争论的泥潭里跳出来，而且可以开始用自己眼睛和视角来看待同性爱，并不断纠正自我认识。In 1998 "Homosexual Subculture" (authored by Li Yinhe) was published in Beijing.Li Yinhe conducted in-depth interviews with a sample of about 120 cases to provide a detailed understanding and analysis of their life experiences. The latest progress of the developing love affair is also added to the investigation record，so as to sort out and summarize the common and different points of individual life history，so as to reflect the social life conditions of the gay group as well as their psychology，thoughts，attitudes and concepts. The book reveals that homosexuality is a universal behavior pattern in human society. By focusing on the interpretation and analysis of the living conditions of Chinese homosexuals，the author argues that their choice should be respected. The book proves that Chinese scholars' understanding of the phenomenon of homosexual sex can not only jump out of the mire of the traditional debate about whether homosexual sex is pathological，but also begin to look at homosexual sex with their own eyes and perspectives，and constantly correct their self-understanding.,//, 同性恋亚文化出版
1997-2001,朋友通信'Communication Between Friends',"书籍刊物Publications,1998",张北川于1998年创办针对同性恋族群项目《朋友》以及每月发行的小型艾滋病卫教刊物《朋友通信》，开展关于同性恋的理解和艾滋病教育活动。杂志坚持了 12 年，印数从最初的3000 册达到最多时16000 册，发往全 国31 个省市自治区，累计影响了数百万人次。In 1998，Zhang Beichuan founded the project "Friends" for gay people and the monthly small AIDS health and education journal "Friends Communication" to carry out the understanding of homosexuality and AIDS education activities. The magazine persisted for 12 years，with a print run of up to 16000 copies from the initial 3000，and was distributed to 31 provinces and autonomous regions across the country，affecting millions of people.,https://www.familydoctor.com.cn/Topics/SexFest/experts/4566611174353.html, 朋友通信
1997-2001,《同性恋在中国》作者被起诉,"法律与案件Law and Lawsuit,1999",1999年2月，《同性恋在中国》作者方刚受到起诉。方刚和出版人在法庭辩护中均强调，同性恋性取向并非道德问题和疾病。二审判决中，法庭取消了同性恋是性变态的说法，判决书摒弃了把同性恋道德化的说辞。这标志着从法律上对同性恋进行道德化的历史时代的终结。In February 1999，the author of "Homosexuality in China" had just been indicted. Both the author，Fang Gang，and the publisher stressed in their court arguments that gay sexual orientation is not a moral issue or a disease. In the second judgment，the court struck down the notion that homosexuality is a sexual perversion，and the ruling rejected the idea of moralizing homosexuality. This marks the end of the historical era of the legal moralization of homosexuality.,//, 《同性恋在中国》作者被起诉
1997-2001,第一部女同性恋电影《今年夏天》The First Lesbain Film 'This Summer',"文化Culture,2000",2000年，第一部女同性恋电影《今年夏天》（李玉编导，石头、潘怡、张浅潜主演）完成。In 2000，the first lesbian film This Summer (directed by Li Yu and starring Shi Shi，Pan Yi and Zhang Jianqian) was completed.,//, 第一部女同性恋电影《今年夏天》
1997-2001,“走近同性恋”节目TV Show Getting to know Homosexuality,"社会Society,2001", 2001年12月，湖南卫视《有话好说》栏目播出“走近同性恋”节目，这是中国电视媒体首次关注同性恋。In December 2001，Hunan Satellite TV's Something to Say program aired Getting to know Homosexuality，which was the first time that Chinese TV media focused on homosexuality,https://www.douban.com/note/824081374/?_i=3721220OUfOBgG, 走近同性恋
